Date,Last Crawling,SKU Name,Product Name,Url Product,Seller,Merchant,Stock,Item Condition,Filter,Flag,Bottom Price,Original Price,Discount,Selling Price,Discrepancy,Sales Quantity,Sales Revenue
10/22/2022,10/22/2022,TL WR840N,Gt Tp-Link Tl-Wr840N Wireless Router 300Mbps,https://tokopedia.com/jambuatah/gt-tp-link-tl-wr840n-wireless-router-300mbps,jambuatah,tokopedia,In Stock,baru,Above,Please Check,155000,234000,0,234000,0.0150967741935483,0,0
10/22/2022,10/22/2022,TL WR840N,READY STOK TP-LINK TL-WR840N 300Mbps Wireless N Router WIFI - TP-LINK - TL-WR840N,https://tokopedia.com/brantaofficial/ready-stok-tp-link-tl-wr840n-300mbps-wireless-n-router-wifi-tp-link-tl-wr840n,Branta Official,tokopedia,In Stock,baru,Above,Please Check,155000,654000,0,654000,0.0421935483870967,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N WIRELESS ROUTER TL WR840N TPLINK WR 840N,https://tokopedia.com/eriztore88/tp-link-tl-wr840n-wireless-router-tl-wr840n-tplink-wr-840n,Eriztore88,tokopedia,In Stock,baru,Above,Please Check,155000,212000,0,212000,0.0136774193548387,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps [Best seller] Wireless N Router,https://tokopedia.com/majumakmur9/tp-link-tl-wr840n-300mbps-best-seller-wireless-n-router,maju makmur 9,tokopedia,In Stock,baru,Above,Please Check,155000,818000,0,818000,0.0527741935483871,0,0
10/22/2022,10/22/2022,TL WR840N,Gt Tp-Link Tplink Tl-Wr840N 300Mbps Tplink Wifi Wireless N Router,https://tokopedia.com/madridismoid/gt-tp-link-tplink-tl-wr840n-300mbps-tplink-wifi-wireless-n-router,madridismoid,tokopedia,In Stock,baru,Above,Please Check,155000,238000,0,238000,0.0153548387096774,0,0
10/22/2022,10/22/2022,TL WR840N,ROUTER Wireless TP-LINK TL-WR840N 300 MBPS,https://tokopedia.com/kela-/router-wireless-tp-link-tl-wr840n-300-mbps,KELA_STORE,tokopedia,In Stock,baru,Above,Please Check,155000,235000,0,235000,0.0151612903225806,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK WiFi Wireless Router 300Mbps - TL-WR840N,https://tokopedia.com/belsa/tp-link-wifi-wireless-router-300mbps-tl-wr840n,BELSA_SHOP,tokopedia,In Stock,baru,Above,Please Check,155000,299000,0,299000,0.0192903225806451,0,0
10/22/2022,10/22/2022,TL WR840N,New TPLINK TL-WR840N N300 Router Tp-link 300mbps NEW TL WR840 840N NEW,https://tokopedia.com/thanthan/new-tplink-tl-wr840n-n300-router-tp-link-300mbps-new-tl-wr840-840n-new,THANTHAN_ACC57,tokopedia,In Stock,baru,Above,Please Check,155000,293000,0,293000,0.0189032258064516,0,0
10/22/2022,10/22/2022,TL WR840N,Wireless N Promo TP-Link 300Mbps Antenna TL-WR840N,https://tokopedia.com/endroshop68/wireless-n-promo-tp-link-300mbps-antenna-tl-wr840n,Endroshop68,tokopedia,In Stock,baru,Above,Please Check,155000,290000,0,290000,0.0187096774193548,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N WIRELESS ROUTER TL WR840N TPLINK WR 840N,https://tokopedia.com/ccwinta/tp-link-tl-wr840n-wireless-router-tl-wr840n-tplink-wr-840n,ccwinta shop,tokopedia,In Stock,baru,Above,Please Check,155000,241000,0,241000,0.0155483870967741,0,0
10/22/2022,10/22/2022,TL WR840N,TP Link WR840 N ( Tp-link TL-WR840N ) wifi router 300mbps Bandung,https://tokopedia.com/thanthan/tp-link-wr840-n-tp-link-tl-wr840n-wifi-router-300mbps-bandung,THANTHAN_ACC57,tokopedia,In Stock,baru,Above,Please Check,155000,275000,0,275000,0.0177419354838709,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Wireless Router,https://tokopedia.com/boneshop9-1/tp-link-tl-wr840n-300mbps-wireless-router,boneshop9,tokopedia,In Stock,baru,Above,Please Check,155000,377000,0,377000,0.0243225806451612,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Router N Wireless 2 Antena WR840N Limited,https://tokopedia.com/madilaa/tp-link-tl-wr840n-300mbps-router-n-wireless-2-antena-wr840n-limited,madilaa_shopp,tokopedia,In Stock,baru,Above,Please Check,155000,218800,0,218800,0.014116129032258,0,0
10/22/2022,10/22/2022,TL WR840N,Dijual TP-Link TL-WR840N Antenna 300Mbps Wireless N Promo Murah,https://tokopedia.com/bilqisshoppp/dijual-tp-link-tl-wr840n-antenna-300mbps-wireless-n-promo-murah,bilqis_Shoppp,tokopedia,In Stock,baru,Above,Please Check,155000,218800,0,218800,0.014116129032258,0,0
10/22/2022,10/22/2022,TL WR840N,Wireless N Router Tp-Link TL-WR840N 300mbps,https://tokopedia.com/pasukanoedes/wireless-n-router-tp-link-tl-wr840n-300mbps,pasukanoedes,tokopedia,In Stock,baru,Above,Please Check,155000,528000,0,528000,0.0340645161290322,0,0
10/22/2022,10/22/2022,TL WR840N,"GARANSI RESMI 1 TAHUN TP-Link TL-WR840N N300 Wi-Fi Router, 802.11b/g/n",https://tokopedia.com/thanthan/garansi-resmi-1-tahun-tp-link-tl-wr840n-n300-wi-fi-router-802-11b-g-n,THANTHAN_ACC57,tokopedia,In Stock,baru,Above,Please Check,155000,282000,0,282000,0.0181935483870967,0,0
10/22/2022,10/22/2022,TL WR840N,Router TP-LINK TL-WR840N 300Mbps Wireless N Speed,https://tokopedia.com/kela-/router-tp-link-tl-wr840n-300mbps-wireless-n-speed,KELA_STORE,tokopedia,In Stock,baru,Above,Please Check,155000,243000,0,243000,0.0156774193548387,0,0
10/22/2022,10/22/2022,TL WR840N,100% Ori Tp-Link Tl-Wr840N 300Mbps Wireless Router Wr840N Tplink 840N,https://tokopedia.com/lisa100-1/100-ori-tp-link-tl-wr840n-300mbps-wireless-router-wr840n-tplink-840n,lisa 100,tokopedia,In Stock,baru,Above,Please Check,155000,233000,0,233000,0.0150322580645161,0,0
10/22/2022,10/22/2022,TL WR840N,Wireless Router TP-LINK TL-WR840N Speed 300Mbps,https://tokopedia.com/ccwinta/wireless-router-tp-link-tl-wr840n-speed-300mbps,ccwinta shop,tokopedia,In Stock,baru,Above,Please Check,155000,245000,0,245000,0.0158064516129032,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR 840N TL-WR840N 300MBps Wireless Router 2 Antenna,https://tokopedia.com/garwitastore-i/tp-link-tl-wr-840n-tl-wr840n-300mbps-wireless-router-2-antenna,Garwitastore-id,tokopedia,In Stock,baru,Above,Please Check,155000,224000,0,224000,0.0144516129032258,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N High Power Wireless Router Access Point Tplink,https://tokopedia.com/faidaolls/tp-link-tl-wr840n-high-power-wireless-router-access-point-tplink,faida ollshop,tokopedia,In Stock,baru,Above,Please Check,155000,205700,0,205700,0.0132709677419354,0,0
10/22/2022,10/22/2022,TL WR840N,ROUTER WIRELESS TP-LINK TL-WR840N 300 MBPS,https://tokopedia.com/eriztore88/router-wireless-tp-link-tl-wr840n-300-mbps,Eriztore88,tokopedia,In Stock,baru,Above,Please Check,155000,222800,0,222800,0.014374193548387,0,0
10/22/2022,10/22/2022,TL WR840N,Dijual Router TP-Link TL-WR840N 300Mbps TL-WR840N Murah,https://tokopedia.com/fiaaas/dijual-router-tp-link-tl-wr840n-300mbps-tl-wr840n-murah,fiaaa_storee,tokopedia,In Stock,baru,Above,Please Check,155000,218800,0,218800,0.014116129032258,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Wireless Router / Wifi Router TPLINK WR840N,https://tokopedia.com/lucu-1/tp-link-tl-wr840n-300mbps-wireless-router-wifi-router-tplink-wr840n,LUCU_U,tokopedia,In Stock,baru,Above,Please Check,155000,283000,0,283000,0.018258064516129,0,0
10/22/2022,10/22/2022,TL WR840N,Dijual TP-LINK ROUTER TL-WR840N Limited,https://tokopedia.com/gilsaashopp/dijual-tp-link-router-tl-wr840n-limited,gilsaa_shopp,tokopedia,In Stock,baru,Above,Please Check,155000,220000,0,220000,0.0141935483870967,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR 840N Router TP Link TL-WR840N Wifi Wireless N Router,https://tokopedia.com/thanthan/tp-link-tl-wr-840n-router-tp-link-tl-wr840n-wifi-wireless-n-router,THANTHAN_ACC57,tokopedia,In Stock,baru,Above,Please Check,155000,240000,0,240000,0.0154838709677419,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Wireless N Router 300Mbps Wireless N Speed,https://tokopedia.com/ccplace/tp-link-tl-wr840n-300mbps-wireless-n-router-300mbps-wireless-n-speed,ccplace shop,tokopedia,In Stock,baru,Above,Please Check,155000,225000,0,225000,0.014516129032258,0,0
10/22/2022,10/22/2022,TL WR840N,Kabel LAN Outdoor 100 Meter dan Access Point TP-LINK TL-WR840N 300Mbps,https://tokopedia.com/ccbima/kabel-lan-outdoor-100-meter-dan-access-point-tp-link-tl-wr840n-300mbps,ccbima store,tokopedia,In Stock,baru,Above,Please Check,155000,496000,0,496000,0.032,0,0
10/22/2022,10/22/2022,TL WR840N,HB799 Tp-Link TL WR845N WR-845N - WR840N 300Mbps Wireless Router Tp Li,https://tokopedia.com/asntoserba/hb799-tp-link-tl-wr845n-wr-845n-wr840n-300mbps-wireless-router-tp-li,ASN TOSERBA,tokopedia,In Stock,baru,Above,Please Check,155000,358000,0,358000,0.0230967741935483,0,0
10/22/2022,10/22/2022,TL WR840N,Tp-Link TL-WR840N 300Mbps Wireless N Speed Router WiFi TP LINK,https://tokopedia.com/gavinstore-/tp-link-tl-wr840n-300mbps-wireless-n-speed-router-wifi-tp-link,Gavinstore-id,tokopedia,In Stock,baru,Above,Please Check,155000,236000,0,236000,0.0152258064516129,0,0
